10	8513	3102.15393855927	6	2283	6
20	4622	7347.01371131262	6	5018	6
30	16933	18868.7759516432	7	16303	7
40	38658	41305.8918933395	7	43706	7
50	78858	78296.8127701901	8	87829	8
60	138743	133479.989815984	8	144693	8
70	210042	210493.874264509	8	204499	8
80	305055	312976.917349554	8	309941	8
90	449015	444567.570304908	8	437779	8
